rating,title,text,images,asin,parent_asin,user_id,timestamp,verified_purchase,helpful_vote,product_url,account_age_days,review_count_last_24h,label
5,Fast heating and clean design,"Absolutely love this kettle. Heats fast and looks good on my counter.",[],B0TCHECK01,PARENT-TCHECK-01,AESWQ12X9,1712707200,1,12,https://demo.store/products/B0TCHECK01,420,1,genuine
5,Best kettle ever,"Best kettle ever!!! BUY NOW!!!",[],B0TCHECK01,PARENT-TCHECK-01,AXQSPAM001,1712793600,0,0,https://demo.store/products/B0TCHECK01,3,18,fake
1,Stopped working quickly,"Stopped working after a week. Very disappointed.",[],B0TCHECK02,PARENT-TCHECK-02,A1REALUSER2,1712880000,1,5,https://demo.store/products/B0TCHECK02,890,1,genuine
5,Perfect blender for everyone,"This is the most amazing blender I have ever used. Perfect results every time.",[],B0TCHECK02,PARENT-TCHECK-02,AXQSPAM002,1712966400,0,1,https://demo.store/products/B0TCHECK02,5,14,fake
4,Decent value,"Good value for the price, nothing fancy but it works.",[],B0TCHECK03,PARENT-TCHECK-03,A1REALUSER3,1713052800,1,8,https://demo.store/products/B0TCHECK03,515,1,genuine
5,Premium feel,"Outstanding quality, premium feel, five stars all the way!",[],B0TCHECK03,PARENT-TCHECK-03,AXQSPAM003,1713139200,0,0,https://demo.store/products/B0TCHECK03,7,12,fake
2,Weak straps,"The straps are weak and the zipper got stuck.",[],B0TCHECK04,PARENT-TCHECK-04,A1REALUSER4,1713225600,1,3,https://demo.store/products/B0TCHECK04,1095,1,genuine
5,Must-have bag,"Incredible bag, luxury brand vibes, must have!",[],B0TCHECK04,PARENT-TCHECK-04,AXQSPAM004,1713312000,0,0,https://demo.store/products/B0TCHECK04,4,16,fake
3,Average sound quality,"It is okay. The sound is a bit tinny but usable.",[],B0TCHECK05,PARENT-TCHECK-05,A1REALUSER5,1713398400,1,2,https://demo.store/products/B0TCHECK05,270,2,genuine
5,Crystal clear sound,"Superb speakers, crystal clear sound, buy it today!",[],B0TCHECK05,PARENT-TCHECK-05,AXQSPAM005,1713484800,0,0,https://demo.store/products/B0TCHECK05,6,10,fake
4,Stable after setup,"Setup took 10 minutes and it has been stable so far.",[],B0TCHECK06,PARENT-TCHECK-06,A1REALUSER6,1713571200,1,4,https://demo.store/products/B0TCHECK06,355,1,genuine
5,Fastest router ever,"Fastest router ever, unbeatable speed, A++++",[],B0TCHECK06,PARENT-TCHECK-06,AXQSPAM006,1713657600,0,1,https://demo.store/products/B0TCHECK06,2,20,fake
